datetime,pps,cum_pnl,daily_pnl
1388534400,0.9999,-0.0001,-0.0001
1388620800,1.0002,0.0002,0.0003
1388707200,1.0007,0.0007,0.0005
1388793600,1.0017,0.0017,0.001
1388880000,1.0026,0.0026,0.0009
1388966400,1.006,0.006,0.0034
1389052800,1.0098,0.0098,0.0038
1389139200,0.9499,-0.0501,-0.0593
1389225600,0.9509,-0.0491,0.0011
1389312000,0.9508,-0.0492,-0.0001
1389398400,0.9513,-0.0487,0.0005
1389484800,0.9536,-0.0464,0.0024
1389571200,0.9508,-0.0492,-0.0029
1389657600,0.9496,-0.0504,-0.0012
1389744000,0.9492,-0.0508,-0.0005
1389830400,0.9507,-0.0493,0.0016
1389916800,0.949,-0.051,-0.0018
1390003200,0.9477,-0.0523,-0.0013
1390089600,0.9479,-0.0521,0.0002
1390176000,0.9485,-0.0515,0.0006
1390262400,0.9482,-0.0518,-0.0003
1390348800,0.9481,-0.0519,-0.0001
1390435200,0.948,-0.052,-0.0001
1390521600,0.9478,-0.0522,-0.0002
1390608000,0.9473,-0.0527,-0.0006
1390694400,0.9477,-0.0523,0.0005
1390780800,0.9479,-0.0521,0.0002
1390867200,0.9465,-0.0535,-0.0015
1390953600,0.9471,-0.0529,0.0006
1391040000,0.9473,-0.0527,0.0002
1391126400,0.9474,-0.0526,0.0001
1391212800,0.9475,-0.0525,0.0001
1391299200,0.9477,-0.0523,0.0003
1391385600,0.9478,-0.0522,0.0
1391472000,0.9446,-0.0554,-0.0033
1391558400,0.9431,-0.0569,-0.0016
1391644800,0.9415,-0.0585,-0.0017
1391731200,0.941,-0.059,-0.0005
1391817600,0.9393,-0.0607,-0.0018
1391904000,0.9387,-0.0613,-0.0007
1391990400,0.9389,-0.0611,0.0002
1392076800,0.9389,-0.0611,0.0
1392163200,0.9387,-0.0613,-0.0002
1392249600,0.9382,-0.0618,-0.0005
1392336000,0.9375,-0.0625,-0.0007
1392422400,0.9383,-0.0617,0.0009
1392508800,0.9382,-0.0618,-0.0002
1392595200,0.9378,-0.0622,-0.0003
1392681600,0.9379,-0.0621,0.0001
1392768000,0.9379,-0.0621,-0.0
1392854400,0.9379,-0.0621,-0.0
1392940800,0.9379,-0.0621,0.0
1393027200,0.9378,-0.0622,-0.0001
1393113600,0.9377,-0.0623,-0.0002
1393200000,0.9377,-0.0623,0.0
1393286400,0.9384,-0.0616,0.0008
1393372800,0.9378,-0.0622,-0.0007
1393459200,0.9296,-0.0704,-0.0087
1393545600,0.9288,-0.0712,-0.0009
1393632000,0.9295,-0.0705,0.0007
1393718400,0.925,-0.075,-0.0049
1393804800,0.9241,-0.0759,-0.0009
1393891200,0.9244,-0.0756,0.0003
1393977600,0.9244,-0.0756,-0.0
1394064000,0.9232,-0.0768,-0.0012
1394150400,0.9224,-0.0776,-0.0009
1394236800,0.922,-0.078,-0.0004
1394323200,0.9218,-0.0782,-0.0002
1394409600,0.9221,-0.0779,0.0003
1394496000,0.9219,-0.0781,-0.0002
1394582400,0.922,-0.078,0.0001
1394668800,0.9221,-0.0779,0.0001
1394755200,0.9222,-0.0778,0.0002
1394841600,0.9188,-0.0812,-0.0037
1394928000,0.9181,-0.0819,-0.0007
1395014400,0.9181,-0.0819,-0.0001
1395100800,0.9133,-0.0867,-0.0052
1395187200,0.9121,-0.0879,-0.0012
1395273600,0.912,-0.088,-0.0002
1395360000,0.911,-0.089,-0.001
1395446400,0.9103,-0.0897,-0.0008
1395532800,0.9104,-0.0896,0.0001
1395619200,0.9106,-0.0894,0.0002
1395705600,0.9099,-0.0901,-0.0008
1395792000,0.9099,-0.0901,0.0001
1395878400,0.91,-0.09,0.0001
1395964800,0.9135,-0.0865,0.0038
1396051200,0.903,-0.097,-0.0115
1396137600,0.9068,-0.0932,0.0042
1396224000,0.9201,-0.0799,0.0146
1396310400,0.9225,-0.0775,0.0026
1396396800,0.9109,-0.0891,-0.0126
1396483200,0.9121,-0.0879,0.0014
1396569600,0.9047,-0.0953,-0.0081
1396656000,0.9053,-0.0947,0.0006
1396742400,0.8963,-0.1037,-0.0099
1396828800,0.8958,-0.1042,-0.0006
1396915200,0.8967,-0.1033,0.001
1397001600,0.8962,-0.1038,-0.0005
1397088000,0.8971,-0.1029,0.001
1397174400,0.9558,-0.0442,0.0654
1397260800,0.9558,-0.0442,0.0
1397347200,0.9558,-0.0442,0.0
1397433600,0.9558,-0.0442,0.0
1397520000,0.9555,-0.0445,-0.0003
1397606400,0.9968,-0.0032,0.0432
1397692800,1.0011,0.0011,0.0042
1397779200,0.9801,-0.0199,-0.0209
1397865600,0.9666,-0.0334,-0.0138
1397952000,0.9847,-0.0153,0.0187
1398038400,0.9813,-0.0187,-0.0034
1398124800,0.9802,-0.0198,-0.0012
1398211200,0.9795,-0.0205,-0.0007
1398297600,0.9797,-0.0203,0.0002
1398384000,0.9806,-0.0194,0.001
1398470400,0.9771,-0.0229,-0.0036
1398556800,0.9764,-0.0236,-0.0008
1398643200,0.9733,-0.0267,-0.0032
1398729600,0.9744,-0.0256,0.0012
1398816000,0.9753,-0.0247,0.0009
1398902400,0.9754,-0.0246,0.0001
1398988800,0.9768,-0.0232,0.0015
1399075200,0.9757,-0.0243,-0.0011
1399161600,0.9741,-0.0259,-0.0017
1399248000,0.9735,-0.0265,-0.0005
1399334400,0.9737,-0.0263,0.0001
1399420800,0.9738,-0.0262,0.0001
1399507200,0.9733,-0.0267,-0.0004
1399593600,0.9734,-0.0266,0.0001
1399680000,0.9728,-0.0272,-0.0006
1399766400,0.9731,-0.0269,0.0003
1399852800,0.9718,-0.0282,-0.0014
1399939200,0.9721,-0.0279,0.0003
1400025600,0.9719,-0.0281,-0.0003
1400112000,0.9723,-0.0277,0.0004
1400198400,0.9724,-0.0276,0.0002
1400284800,0.9725,-0.0275,0.0001
1400371200,0.9726,-0.0274,0.0001
1400457600,0.9698,-0.0302,-0.0029
1400544000,0.9712,-0.0288,0.0014
1400630400,1.0122,0.0122,0.0422
1400716800,1.0173,0.0173,0.0051
1400803200,1.0561,0.0561,0.0382
1400889600,1.0491,0.0491,-0.0066
1400976000,1.0545,0.0545,0.0052
1401062400,1.1078,0.1078,0.0505
1401148800,1.1179,0.1179,0.0092
1401235200,1.1064,0.1064,-0.0103
1401321600,1.1168,0.1168,0.0094
1401408000,1.1057,0.1057,-0.0099
1401494400,1.1711,0.1711,0.0591
1401580800,1.173,0.173,0.0016
1401667200,1.1738,0.1738,0.0008
1401753600,1.1826,0.1826,0.0075
1401840000,1.1846,0.1846,0.0017
1401926400,1.1765,0.1765,-0.0068
1402012800,1.1824,0.1824,0.005
1402099200,1.1784,0.1784,-0.0034
1402185600,1.1813,0.1813,0.0024
1402272000,1.1802,0.1802,-0.0009
1402358400,1.18,0.18,-0.0002
1402444800,1.1799,0.1799,-0.0
1402531200,1.1791,0.1791,-0.0007
1402617600,1.1776,0.1776,-0.0013
1402704000,1.1782,0.1782,0.0005
1402790400,1.1774,0.1774,-0.0007
1402876800,1.1781,0.1781,0.0006
1402963200,1.178,0.178,-0.0002
1403049600,1.1785,0.1785,0.0005
1403136000,1.1786,0.1786,0.0
1403222400,1.1723,0.1723,-0.0053
1403308800,1.1711,0.1711,-0.001
1403395200,1.1711,0.1711,0.0
1403481600,1.1714,0.1714,0.0002
1403568000,1.171,0.171,-0.0004
1403654400,1.1704,0.1704,-0.0005
1403740800,1.17,0.17,-0.0004
1403827200,1.1706,0.1706,0.0005
1403913600,1.1712,0.1712,0.0006
1404000000,1.1709,0.1709,-0.0003
1404086400,1.1712,0.1712,0.0003
1404172800,1.1868,0.1868,0.0133
1404259200,1.1852,0.1852,-0.0013
1404345600,1.1965,0.1965,0.0095
1404432000,1.1945,0.1945,-0.0017
1404518400,1.1754,0.1754,-0.016
1404604800,1.1775,0.1775,0.0018
1404691200,1.1767,0.1767,-0.0006
1404777600,1.1754,0.1754,-0.0011
1404864000,1.1754,0.1754,0.0
1404950400,1.1753,0.1753,-0.0001
1405036800,1.1751,0.1751,-0.0002
1405123200,1.1756,0.1756,0.0004
1405209600,1.1757,0.1757,0.0001
1405296000,1.1754,0.1754,-0.0002
1405382400,1.1751,0.1751,-0.0003
1405468800,1.1751,0.1751,0.0
1405555200,1.1749,0.1749,-0.0002
1405641600,1.1751,0.1751,0.0002
1405728000,1.1753,0.1753,0.0002
1405814400,1.1752,0.1752,-0.0001
1405900800,1.1751,0.1751,-0.0001
1405987200,1.1749,0.1749,-0.0001
1406073600,1.1748,0.1748,-0.0001
1406160000,1.1748,0.1748,-0.0
1406246400,1.1743,0.1743,-0.0004
1406332800,1.1742,0.1742,-0.0001
1406419200,1.174,0.174,-0.0002
1406505600,1.1739,0.1739,-0.0001
1406592000,1.1739,0.1739,-0.0001
1406678400,1.1738,0.1738,-0.0001
1406764800,1.1734,0.1734,-0.0003
1406851200,1.1737,0.1737,0.0002
1406937600,1.1738,0.1738,0.0001
1407024000,1.1738,0.1738,-0.0001
1407110400,1.1738,0.1738,0.0
1407196800,1.1738,0.1738,-0.0
1407283200,1.1738,0.1738,0.0
1407369600,1.1727,0.1727,-0.0009
1407456000,1.1716,0.1716,-0.0009
1407542400,1.1716,0.1716,-0.0
1407628800,1.1716,0.1716,-0.0
1407715200,1.1716,0.1716,-0.0
1407801600,1.1719,0.1719,0.0003
1407888000,1.172,0.172,0.0001
1407974400,1.1772,0.1772,0.0044
1408060800,1.1897,0.1897,0.0106
1408147200,1.1915,0.1915,0.0015
1408233600,1.1837,0.1837,-0.0065
1408320000,1.194,0.194,0.0087
1408406400,1.2042,0.2042,0.0086
1408492800,1.1959,0.1959,-0.0069
1408579200,1.1833,0.1833,-0.0106
1408665600,1.1821,0.1821,-0.001
1408752000,1.1823,0.1823,0.0002
1408838400,1.1834,0.1834,0.0009
1408924800,1.1827,0.1827,-0.0006
1409011200,1.183,0.183,0.0002
1409097600,1.1822,0.1822,-0.0007
1409184000,1.1823,0.1823,0.0001
1409270400,1.1823,0.1823,-0.0
1409356800,1.1823,0.1823,0.0
1409443200,1.1822,0.1822,-0.0001
1409529600,1.1819,0.1819,-0.0003
1409616000,1.1818,0.1818,-0.0001
1409702400,1.1818,0.1818,0.0
